GPS GPSDate,Image ExifOffset,Image Padding,EXIF ComponentsConfiguration,file_name,GPS GPSLatitudeRef,GPS GPSAltitudeRef,Image DateTime,EXIF ShutterSpeedValue,EXIF MeteringMode,EXIF ExifVersion,Image Software,EXIF UserComment,Thumbnail ResolutionUnit,Thumbnail YResolution,EXIF SubSecTime,Interoperability InteroperabilityVersion,GPS GPSLongitude,Image Orientation,EXIF DateTimeOriginal,Image YCbCrPositioning,EXIF InteroperabilityOffset,Thumbnail JPEGInterchangeFormat,EXIF FNumber,Image Model,EXIF ExifImageLength,EXIF SceneType,Image ResolutionUnit,Thumbnail XResolution,Image GPSInfo,Image YResolution,EXIF ExposureProgram,Thumbnail JPEGInterchangeFormatLength,EXIF Flash,Thumbnail Compression,EXIF ExposureMode,EXIF FlashPixVersion,EXIF BrightnessValue,EXIF Padding,EXIF ExifImageWidth,GPS GPSLatitude,EXIF SceneCaptureType,GPS GPSTimeStamp,EXIF DigitalZoomRatio,EXIF SubSecTimeOriginal,EXIF ColorSpace,EXIF FocalLength,EXIF ExposureTime,Image XResolution,Image Make,EXIF WhiteBalance,GPS GPSAltitude,EXIF ISOSpeedRatings,EXIF DateTimeDigitized,EXIF OffsetSchema,GPS GPSLongitudeRef,Interoperability InteroperabilityIndex,EXIF ExposureBiasValue,EXIF SensingMethod,EXIF SubSecTimeDigitized,Thumbnail Orientation
2017:05:23,184,[],YCbCr,10.jpg,N,0,2017:05:23 13:14:42,5321/1000,CenterWeightedAverage,0220,Microsoft Windows Photo Viewer 6.1.7600.16385,[],Pixels/Inch,72,671598,"[48, 49, 48, 48]","[127, 58, 57503/2000]",Horizontal (normal),2017:05:23 13:14:42,Centered,5910,6180,9/5,LGM-G600K,136316960,Directly Photographed,Pixels/Inch,72,5940,72,Unidentified,4044,"Flash did not fire, compulsory flash mode",JPEG (old-style),Auto Exposure,0100,0,[],272633920,"[37, 19, 177427/5000]",Standard,"[4, 14, 41]",1,671598,sRGB,403/100,1/40,72,LG Electronics,Auto,0,50,2017:05:23 13:14:42,-926,E,R98,0,One-chip color area,671598,Horizontal (normal)

GPS GPSDate,Image ExifOffset,Image Padding,EXIF ComponentsConfiguration,file_name,GPS GPSLatitudeRef,GPS GPSAltitudeRef,Image DateTime,EXIF ShutterSpeedValue,EXIF MeteringMode,EXIF ExifVersion,Image Software,EXIF UserComment,Thumbnail ResolutionUnit,Thumbnail YResolution,EXIF SubSecTime,Interoperability InteroperabilityVersion,GPS GPSLongitude,Image Orientation,EXIF DateTimeOriginal,Image YCbCrPositioning,EXIF InteroperabilityOffset,Thumbnail JPEGInterchangeFormat,EXIF FNumber,Image Model,EXIF ExifImageLength,EXIF SceneType,Image ResolutionUnit,Thumbnail XResolution,Image GPSInfo,Image YResolution,EXIF ExposureProgram,Thumbnail JPEGInterchangeFormatLength,EXIF Flash,Thumbnail Compression,EXIF ExposureMode,EXIF FlashPixVersion,EXIF BrightnessValue,EXIF Padding,EXIF ExifImageWidth,GPS GPSLatitude,EXIF SceneCaptureType,GPS GPSTimeStamp,EXIF DigitalZoomRatio,EXIF SubSecTimeOriginal,EXIF ColorSpace,EXIF FocalLength,EXIF ExposureTime,Image XResolution,Image Make,EXIF WhiteBalance,GPS GPSAltitude,EXIF ISOSpeedRatings,EXIF DateTimeDigitized,EXIF OffsetSchema,GPS GPSLongitudeRef,Interoperability InteroperabilityIndex,EXIF ExposureBiasValue,EXIF SensingMethod,EXIF SubSecTimeDigitized,Thumbnail Orientation
2017:05:23,195,[],YCbCr,11.jpg,N,0,2017:05:23 13:14:50,5321/1000,CenterWeightedAverage,0220,Microsoft Windows Photo Viewer 6.1.7600.16385,[],Pixels/Inch,72,348982,"[48, 49, 48, 48]","[127, 58, 17853/625]",Horizontal (normal),2017:05:23 13:14:50,Centered,5910,6239,9/5,LGM-G600K,2080,Directly Photographed,Pixels/Inch,72,5940,72,Unidentified,16441,"Flash did not fire, compulsory flash mode",JPEG (old-style),Auto Exposure,0100,0,[],4160,"[37, 19, 176077/5000]",Standard,"[4, 14, 49]",1,348982,sRGB,403/100,1/40,72,LG Electronics,Auto,0,50,2017:05:23 13:14:50,-926,E,R98,0,One-chip color area,348982,Horizontal (normal)

GPS GPSDate,Image ExifOffset,Image Padding,EXIF ComponentsConfiguration,file_name,GPS GPSLatitudeRef,GPS GPSAltitudeRef,Image DateTime,EXIF ShutterSpeedValue,EXIF MeteringMode,EXIF ExifVersion,Image Software,EXIF UserComment,Thumbnail ResolutionUnit,Thumbnail YResolution,EXIF SubSecTime,Interoperability InteroperabilityVersion,GPS GPSLongitude,Image Orientation,EXIF DateTimeOriginal,Image YCbCrPositioning,EXIF InteroperabilityOffset,Thumbnail JPEGInterchangeFormat,EXIF FNumber,Image Model,EXIF ExifImageLength,EXIF SceneType,Image ResolutionUnit,Thumbnail XResolution,Image GPSInfo,Image YResolution,EXIF ExposureProgram,Thumbnail JPEGInterchangeFormatLength,EXIF Flash,Thumbnail Compression,EXIF ExposureMode,EXIF FlashPixVersion,EXIF BrightnessValue,EXIF Padding,EXIF ExifImageWidth,GPS GPSLatitude,EXIF SceneCaptureType,GPS GPSTimeStamp,EXIF DigitalZoomRatio,EXIF SubSecTimeOriginal,EXIF ColorSpace,EXIF FocalLength,EXIF ExposureTime,Image XResolution,Image Make,EXIF WhiteBalance,GPS GPSAltitude,EXIF ISOSpeedRatings,EXIF DateTimeDigitized,EXIF OffsetSchema,GPS GPSLongitudeRef,Interoperability InteroperabilityIndex,EXIF ExposureBiasValue,EXIF SensingMethod,EXIF SubSecTimeDigitized,Thumbnail Orientation
2017:05:23,184,[],YCbCr,12.jpg,N,0,2017:05:23 13:14:50,5321/1000,CenterWeightedAverage,0220,Microsoft Windows Photo Viewer 6.1.7600.16385,[],Pixels/Inch,72,348982,"[48, 49, 48, 48]","[127, 58, 17853/625]",Horizontal (normal),2017:05:23 13:14:50,Centered,5910,6180,9/5,LGM-G600K,136316960,Directly Photographed,Pixels/Inch,72,5940,72,Unidentified,5109,"Flash did not fire, compulsory flash mode",JPEG (old-style),Auto Exposure,0100,0,[],272633920,"[37, 19, 176077/5000]",Standard,"[4, 14, 49]",1,348982,sRGB,403/100,1/40,72,LG Electronics,Auto,0,50,2017:05:23 13:14:50,-926,E,R98,0,One-chip color area,348982,Horizontal (normal)

GPS GPSDate,Image ExifOffset,Image Padding,EXIF ComponentsConfiguration,file_name,GPS GPSLatitudeRef,GPS GPSAltitudeRef,Image DateTime,EXIF ShutterSpeedValue,EXIF MeteringMode,EXIF ExifVersion,Image Software,EXIF UserComment,Thumbnail ResolutionUnit,Thumbnail YResolution,EXIF SubSecTime,Interoperability InteroperabilityVersion,GPS GPSLongitude,Image Orientation,EXIF DateTimeOriginal,Image YCbCrPositioning,EXIF InteroperabilityOffset,Thumbnail JPEGInterchangeFormat,EXIF FNumber,Image Model,EXIF ExifImageLength,EXIF SceneType,Image ResolutionUnit,Thumbnail XResolution,Image GPSInfo,Image YResolution,EXIF ExposureProgram,Thumbnail JPEGInterchangeFormatLength,EXIF Flash,Thumbnail Compression,EXIF ExposureMode,EXIF FlashPixVersion,EXIF BrightnessValue,EXIF Padding,EXIF ExifImageWidth,GPS GPSLatitude,EXIF SceneCaptureType,GPS GPSTimeStamp,EXIF DigitalZoomRatio,EXIF SubSecTimeOriginal,EXIF ColorSpace,EXIF FocalLength,EXIF ExposureTime,Image XResolution,Image Make,EXIF WhiteBalance,GPS GPSAltitude,EXIF ISOSpeedRatings,EXIF DateTimeDigitized,EXIF OffsetSchema,GPS GPSLongitudeRef,Interoperability InteroperabilityIndex,EXIF ExposureBiasValue,EXIF SensingMethod,EXIF SubSecTimeDigitized,Thumbnail Orientation
